"Input invariants"	"Petal permutation"	"Actual invariants"
"{ 18.,  10.,  -2., 315.}"	"{-0.1534, -0.1224, -0.1656, -0.1283, -0.1045, -0.0831, -0.1397, -0.1967, -0.0311, -0.0240, -0.0658, -0.1372, -0.0672, -0.0050, -0.0851, -0.0526, -0.0056, -0.0488, -0.0982, -0.0428, -0.1292,  0.2937, -0.0796, -0.0053, -0.0288}"	"{22, 16, -2, 387, {{-14, -1}, {-13, 3}, {-12, -4}, {-11, -3}, {-10, 21}, {-9, -42}, {-8, 46}, {-7, -16}, {-6, -47}, {-5, 119}, {-4, -169}, {-3, 180}, {-2, -147}, {-1, 83}, {0, -5}, {1, -58}, {2, 86}, {3, -73}, {4, 37}, {5, -6}, {6, -8}, {7, 7}, {8, -2}}, {{-8, 1}, {-7, -4}, {-6, 7}, {-5, 1}, {-4, -16}, {-3, 19}, {-2, -32}, {-1, 81}, {0, -113}, {1, 81}, {2, -32}, {3, 19}, {4, -16}, {5, 1}, {6, 7}, {7, -4}, {8, 1}}}"
"{ 18.,   6.,   4., 145.}"	"{-0.0707, -0.0582, -0.0767, -0.0587, -0.0492, -0.0391, -0.0656, -0.0897, -0.0136, -0.0097, -0.0299, -0.0616, -0.0311, -0.0028, -0.0375, -0.0253, -0.0025, -0.0245, -0.0441, -0.0202, -0.0599,  0.3233, -0.0371, -0.0022, -0.0104}"	"{22, 16, -2, 839, {{-18, 1}, {-17, -2}, {-16, 1}, {-15, 3}, {-14, -8}, {-13, 2}, {-12, 22}, {-11, -57}, {-10, 75}, {-9, -47}, {-8, -31}, {-7, 134}, {-6, -224}, {-5, 273}, {-4, -266}, {-3, 204}, {-2, -104}, {-1, 4}, {0, 62}, {1, -74}, {2, 50}, {3, -20}, {4, 3}}, {{-8, 1}, {-7, -3}, {-6, 4}, {-5, -1}, {-4, -10}, {-3, 44}, {-2, -107}, {-1, 170}, {0, -195}, {1, 170}, {2, -107}, {3, 44}, {4, -10}, {5, -1}, {6, 4}, {7, -3}, {8, 1}}}"
"{ 20.,  10.,  -2., 279.}"	"{-0.1355, -0.1090, -0.1469, -0.1135, -0.0924, -0.0740, -0.1240, -0.1738, -0.0274, -0.0206, -0.0582, -0.1211, -0.0593, -0.0045, -0.0747, -0.0469, -0.0052, -0.0438, -0.0866, -0.0379, -0.1147,  0.3576, -0.0704, -0.0047, -0.0247}"	"{22, 16, -2, 387, {{-14, -1}, {-13, 3}, {-12, -4}, {-11, -3}, {-10, 21}, {-9, -42}, {-8, 46}, {-7, -16}, {-6, -47}, {-5, 119}, {-4, -169}, {-3, 180}, {-2, -147}, {-1, 83}, {0, -5}, {1, -58}, {2, 86}, {3, -73}, {4, 37}, {5, -6}, {6, -8}, {7, 7}, {8, -2}}, {{-8, 1}, {-7, -4}, {-6, 7}, {-5, 1}, {-4, -16}, {-3, 19}, {-2, -32}, {-1, 81}, {0, -113}, {1, 81}, {2, -32}, {3, 19}, {4, -16}, {5, 1}, {6, 7}, {7, -4}, {8, 1}}}"
"{ 13.,   8.,  -4., 197.}"	"{-0.0960, -0.0774, -0.1041, -0.0805, -0.0650, -0.0529, -0.0878, -0.1226, -0.0200, -0.0150, -0.0410, -0.0867, -0.0419, -0.0034, -0.0525, -0.0329, -0.0043, -0.0312, -0.0607, -0.0265, -0.0816,  0.2949, -0.0491, -0.0031, -0.0177}"	"{23, 16, -2, 1251, {{-16, 1}, {-15, -2}, {-14, 1}, {-13, 3}, {-12, -9}, {-11, 5}, {-10, 17}, {-9, -51}, {-8, 70}, {-7, -45}, {-6, -33}, {-5, 145}, {-4, -252}, {-3, 322}, {-2, -331}, {-1, 277}, {0, -174}, {1, 60}, {2, 26}, {3, -60}, {4, 51}, {5, -27}, {6, 8}, {7, -1}}, {{-8, 1}, {-7, -3}, {-6, 2}, {-5, 6}, {-4, -24}, {-3, 74}, {-2, -161}, {-1, 236}, {0, -261}, {1, 236}, {2, -161}, {3, 74}, {4, -24}, {5, 6}, {6, 2}, {7, -3}, {8, 1}}}"
"{ 23.,  12.,  -4., 857.}"	"{-0.4204, -0.3288, -0.4493, -0.3492, -0.2845, -0.2242, -0.3801, -0.5424, -0.0860, -0.0687, -0.1835, -0.3754, -0.1868, -0.0131, -0.2382, -0.1431, -0.0095, -0.1277, -0.2727, -0.1170, -0.3497,  0.2013, -0.2193, -0.0154, -0.0839}"	"{21, 12, -4, 33, {{-14, -1}, {-13, 3}, {-12, -4}, {-11, -1}, {-10, 12}, {-9, -21}, {-8, 18}, {-7, -1}, {-6, -24}, {-5, 44}, {-4, -50}, {-3, 42}, {-2, -20}, {-1, -9}, {0, 37}, {1, -49}, {2, 44}, {3, -26}, {4, 8}, {5, 1}, {6, -3}, {7, 1}}, {{-6, 1}, {-5, 1}, {-4, -3}, {-3, -5}, {-2, 12}, {-1, -4}, {0, -3}, {1, -4}, {2, 12}, {3, -5}, {4, -3}, {5, 1}, {6, 1}}}"
"{5., 6., 6., 3.}"	"{-5.6294e-03, -4.1917e-03, -3.4689e-03, -3.2397e-03, -3.9243e-03, -4.2149e-03, -6.1187e-03, -4.8304e-03, -2.2884e-03, -2.7734e-03, -1.1910e-03, -3.5890e-03, -2.9989e-03,  1.6797e-02, -1.9941e-03, -4.8845e-03,  6.5022e-02, -4.0698e-03, -1.7394e-03, -9.1473e-04, -6.4760e-03,  2.8343e-01, -1.1356e-04,  2.9733e-01,  4.9357e-01}"	"{4, 6, -4, 5, {{-2, 1}, {-1, -1}, {0, 1}, {1, -1}, {2, 1}}, {{-3, -1}, {-2, 2}, {0, -1}, {2, 2}, {3, -1}}}"
"{19., 12., -2., 35.}"	"{-0.0178, -0.0208, -0.0214, -0.0152, -0.0131, -0.0111, -0.0211, -0.0233, -0.0056, -0.0039, -0.0081, -0.0180, -0.0058, -0.0027, -0.0066, -0.0092, -0.0022, -0.0113, -0.0096, -0.0036, -0.0200,  0.3085, -0.0075,  0.1839, -0.0019}"	"{18, 4, 0, 9, {{-9, 1}, {-8, -4}, {-7, 6}, {-6, -3}, {-5, -8}, {-4, 21}, {-3, -28}, {-2, 27}, {-1, -16}, {0, 3}, {1, 12}, {2, -24}, {3, 27}, {4, -21}, {5, 9}, {6, 2}, {7, -6}, {8, 4}, {9, -1}}, {{-2, 1}, {-1, -2}, {0, 3}, {1, -2}, {2, 1}}}"
"{ 14.,   8.,   2., 291.}"	"{-0.1423, -0.1122, -0.1524, -0.1183, -0.0968, -0.0763, -0.1294, -0.1820, -0.0284, -0.0226, -0.0613, -0.1259, -0.0631, -0.0045, -0.0792, -0.0484, -0.0040, -0.0449, -0.0913, -0.0396, -0.1187,  0.1791, -0.0738, -0.0050, -0.0261}"	"{21, 12, -4, 33, {{-14, -1}, {-13, 3}, {-12, -4}, {-11, -1}, {-10, 12}, {-9, -21}, {-8, 18}, {-7, -1}, {-6, -24}, {-5, 44}, {-4, -50}, {-3, 42}, {-2, -20}, {-1, -9}, {0, 37}, {1, -49}, {2, 44}, {3, -26}, {4, 8}, {5, 1}, {6, -3}, {7, 1}}, {{-6, 1}, {-5, 1}, {-4, -3}, {-3, -5}, {-2, 12}, {-1, -4}, {0, -3}, {1, -4}, {2, 12}, {3, -5}, {4, -3}, {5, 1}, {6, 1}}}"
"{13.,  8.,  0., 25.}"	"{-1.2325e-02, -1.3609e-02, -1.4180e-02, -1.0436e-02, -9.2541e-03, -7.8823e-03, -1.4224e-02, -1.5425e-02, -3.6558e-03, -2.7573e-03, -5.3934e-03, -1.1899e-02, -4.2488e-03, -1.5603e-03, -4.3747e-03, -6.1157e-03, -1.3148e-03, -7.8771e-03, -6.3186e-03, -2.4924e-03, -1.3672e-02,  2.5321e-01, -5.0053e-03,  1.0074e-01, -1.8349e-04}"	"{6, 2, 0, 9, {{-4, 1}, {-3, -1}, {-2, 1}, {-1, -2}, {0, 2}, {1, -1}, {2, 1}}, {{-1, -2}, {0, 5}, {1, -2}}}"
"{  18.,   10.,   -2., 1995.}"	"{-0.9843, -0.7592, -1.0449, -0.8118, -0.6614, -0.5186, -0.8865, -1.2706, -0.2011, -0.1658, -0.4323, -0.8770, -0.4412, -0.0300, -0.5625, -0.3342, -0.0147, -0.2913, -0.6417, -0.2721, -0.8110, -0.0045, -0.5137, -0.0376, -0.2012}"	"{18, 12, -4, 285, {{-15, -1}, {-13, 9}, {-12, -30}, {-11, 57}, {-10, -75}, {-9, 69}, {-8, -37}, {-7, -12}, {-6, 65}, {-5, -106}, {-4, 125}, {-3, -116}, {-2, 85}, {-1, -44}, {0, 13}, {1, 1}, {2, -3}, {3, 1}}, {{-6, 1}, {-5, 1}, {-4, -8}, {-2, 37}, {-1, -72}, {0, 83}, {1, -72}, {2, 37}, {4, -8}, {5, 1}, {6, 1}}}"
